,Latitude,Longitude,Elevation
310,38.921816,-95.6728938,332
311,38.9218267,-95.6729146,332
312,38.9218452,-95.6729471,332
313,38.9218586,-95.6729753,332
314,38.9218752,-95.6732653,332
315,38.9218867,-95.6730373,330
316,38.9218912,-95.6730467,330
317,38.9218922,-95.6730584,329
318,38.9218925,-95.6730725,329
319,38.9218943,-95.6731523,329
320,38.9218932,-95.6731664,329
321,38.9218831,-95.6732365,329
322,38.9218559,-95.6733263,329
323,38.9218009,-95.6734983,329
324,38.9216989,-95.6738071,328
325,38.9215784,-95.6741669,328
326,38.921514,-95.6743616,328
327,38.9214979,-95.6744074,328
328,38.9214872,-95.6744218,327
329,38.9214739,-95.6744366,327
330,38.9214588,-95.674455,327
331,38.9214481,-95.6744668,327
332,38.9214369,-95.6744795,327
333,38.9214009,-95.6745191,326
334,38.921355,-95.6745596,326
335,38.9213177,-95.6745948,326
336,38.9213117,-95.6746012,326
337,38.9213028,-95.6746056,326
338,38.9212916,-95.6746113,326
339,38.9212045,-95.6746589,325
340,38.9211718,-95.6746645,325
341,38.9211559,-95.6746682,324
342,38.9211212,-95.6746763,323
343,38.9210915,-95.674683,323
344,38.9210696,-95.674684,320
345,38.921044,-95.674685,320
346,38.9210025,-95.6746883,322
347,38.9209908,-95.674687,322
348,38.9209603,-95.6746826,323
349,38.9208878,-95.6746709,323
350,38.9207589,-95.6746454,324
351,38.9206165,-95.6746173,324
352,38.9205046,-95.6745958,325
353,38.9202758,-95.6745495,325
354,38.9200854,-95.6745137,325
355,38.9198391,-95.6744691,325
356,38.9198224,-95.6744664,325
357,38.9198131,-95.6744677,325
358,38.9198018,-95.6744687,326
359,38.9197027,-95.6744751,326
360,38.9196811,-95.6744808,326
361,38.9195738,-95.674508,326
362,38.9195598,-95.6745147,326
363,38.919542,-95.6745214,326
364,38.9194638,-95.6745596,326
365,38.919452,-95.674567,326
366,38.9194306,-95.6745831,326
367,38.919368,-95.6746293,325
368,38.9193599,-95.6746367,325
369,38.9193495,-95.6746464,325
370,38.9192895,-95.6747048,325
371,38.9192812,-95.6747128,325
372,38.9192726,-95.6747239,325
373,38.9191779,-95.6748389,323
374,38.9191737,-95.6748459,323
375,38.9191687,-95.6748553,323
376,38.9191059,-95.6749619,322
377,38.9191022,-95.6749686,322
378,38.9190975,-95.674979,321
379,38.9190417,-95.675094,321
380,38.9190386,-95.6751001,320
381,38.9190365,-95.6751095,320
382,38.9190013,-95.6752593,320
383,38.9189997,-95.6752677,320
384,38.9189822,-95.6753857,319
385,38.9189762,-95.6755644,319
386,38.9189765,-95.6755718,319
387,38.9190086,-95.6757877,318
388,38.9190101,-95.6757974,318
389,38.9190276,-95.6758762,318
390,38.9190472,-95.6759684,318
391,38.91905,-95.6759785,318
392,38.9190555,-95.6759885,318
393,38.919092,-95.6760603,317
394,38.9191239,-95.676122,317
395,38.9191304,-95.6761327,317
396,38.9191727,-95.6762014,317
397,38.9192102,-95.6762635,316
398,38.9192157,-95.6762719,316
399,38.9192246,-95.6762823,316
400,38.9192958,-95.6763748,316
401,38.9193109,-95.6763946,316
402,38.9193174,-95.6764016,316
403,38.9193289,-95.6764097,316
404,38.9194053,-95.6764583,316
405,38.9194833,-95.6765029,317
406,38.9195465,-95.6765378,318
407,38.9195762,-95.6765468,318
408,38.9196075,-95.6765555,321
409,38.9196975,-95.6765827,323
410,38.9197145,-95.6765881,323
411,38.9197304,-95.6765911,323
412,38.9198164,-95.6766068,324
413,38.919921,-95.6766276,324
414,38.9200533,-95.6766518,324
415,38.9201968,-95.6766779,325
416,38.9203663,-95.6767104,325
417,38.9208142,-95.6767926,326
418,38.9212075,-95.6768663,326
419,38.9213132,-95.6768867,327
420,38.9213275,-95.6768877,327
421,38.9213432,-95.6768884,327
422,38.9214016,-95.6768921,327
423,38.9214295,-95.6769021,327
424,38.9214781,-95.6769125,327
425,38.9215908,-95.6769326,327
426,38.9216857,-95.6769494,327
427,38.9217843,-95.6769682,327
428,38.9218886,-95.6769876,327
429,38.9219893,-95.6770061,327
430,38.9219985,-95.6770077,327
431,38.9220105,-95.6770088,327
432,38.9220618,-95.6770108,327
433,38.9220671,-95.6770108,327
434,38.9220751,-95.6770084,327
435,38.9220861,-95.6770041,327
436,38.9221171,-95.676995,326
437,38.9221234,-95.6769923,326
438,38.9221331,-95.676986,326
439,38.9221784,-95.6769568,324
440,38.9221842,-95.6769507,323
441,38.9221917,-95.6769407,323
442,38.9222092,-95.6769115,323
443,38.9222157,-95.6768988,323
444,38.9222197,-95.6768864,323
445,38.9222384,-95.676822,323
446,38.922241,-95.6768066,323
447,38.9222421,-95.6767868,323
448,38.922265,-95.6765471,323
449,38.9222898,-95.6762276,323
450,38.9222995,-95.6761112,323
451,38.9223042,-95.6760955,323
452,38.9223094,-95.6760753,323
453,38.9223164,-95.6760576,323
454,38.9223316,-95.676011,323
455,38.9223407,-95.6759875,323
456,38.9223493,-95.6759573,323
457,38.9223553,-95.6759409,323
458,38.9223814,-95.6758795,323
459,38.9223887,-95.6758614,324
460,38.9223936,-95.6758504,324
461,38.9224049,-95.67584,324
462,38.9224505,-95.6757974,324
463,38.9224698,-95.675778,325
464,38.9224784,-95.6757682,326
465,38.9224888,-95.6757612,327
466,38.9225019,-95.6757558,327
467,38.9225235,-95.6757495,328
468,38.9226112,-95.6757206,329
469,38.9226187,-95.6757173,329
470,38.9226276,-95.6757166,329
471,38.9226367,-95.6757169,330
472,38.9227745,-95.6757203,330
473,38.9228011,-95.6757189,330
474,38.9229917,-95.6757062,330
475,38.9231493,-95.6756961,330
476,38.9231863,-95.6756918,331
477,38.923395,-95.675668,331
478,38.9234694,-95.6756597,331
479,38.9235211,-95.675659,332
480,38.9237506,-95.675659,332
481,38.9237736,-95.6756576,332
482,38.9237827,-95.6756576,332
483,38.9237981,-95.6756633,331
484,38.9239063,-95.6756885,331
485,38.9239987,-95.6757203,329
486,38.9240227,-95.6757297,329
487,38.9241588,-95.675774,330
488,38.9243492,-95.6758635,330
489,38.9245209,-95.6759443,330
490,38.9246364,-95.6759986,330
491,38.9247947,-95.6760714,330
492,38.9249883,-95.6761632,330
493,38.9251343,-95.676231,329
494,38.925475,-95.6763906,328
495,38.9257702,-95.6765294,328
496,38.9258451,-95.6765572,329
497,38.9259092,-95.6765837,331
498,38.9259348,-95.6765901,331
499,38.9259463,-95.6765924,331
500,38.9262102,-95.6766454,331
501,38.926397,-95.6766803,331
502,38.926589,-95.6767165,330
503,38.9267108,-95.6767386,330
504,38.9269747,-95.6767886,330
