"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"OPA2197IDGKR","Texas Instruments","296-47349-1-ND","","","Cut Tape (CT)","Active","3","3.65000","$10.95","0","26 Weeks","IC OPAMP GP 2 CIRCUIT 8VSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"LP2985-10DBVR","Texas Instruments","296-24263-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","11558","6 Weeks","IC REG LINEAR 10V 150MA SOT23-5","ROHS3 Compliant","Lead free","REACH Unaffected"
"BTS70041EPPXUMA1","Infineon Technologies","BTS70041EPPXUMA1CT-ND","","","Cut Tape (CT)","Active","2","4.35000","$8.70","0","42 Weeks","IC PWR SWTCH N-CHAN 1:1 TSDSO-14","ROHS3 Compliant","Lead free","REACH Unaffected"
"C1H15","","","","","","","","","","","","","","",""
"BTS70401EPAXUMA1","Infineon Technologies","BTS70401EPAXUMA1CT-ND","","","Cut Tape (CT)","Active","7","1.97000","$13.79","0","42 Weeks","IC PWR SWTCH N-CHAN 1:1 TSDSO-14","ROHS3 Compliant","Lead free","REACH Unaffected"
"GRM188R61E475KE11D","Murata Electronics","490-7203-1-ND","","","Cut Tape (CT)","Active","4","0.50000","$2.00","322103","23 Weeks","CAP CER 4.7UF 25V X5R 0603","ROHS3 Compliant","Lead free","Not Available"
"C1206C104K5RAC7800","KEMET","399-C1206C104K5RAC7800CT-ND","","","Cut Tape (CT)","Active","10","0.10500","$1.05","1556275","11 Weeks","CAP CER 0.1UF 50V X7R 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"UUJ2E220MNQ1MS","Nichicon","493-6191-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","229","21 Weeks","CAP ALUM 22UF 20% 250V SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"860021373001","Würth Elektronik","732-8879-1-ND","","","Cut Tape (CT)","Active","2","0.18000","$0.36","124","20 Weeks","CAP ALUM 0.47UF 20% 400V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0603C103J5JAC7867","KEMET","399-13384-1-ND","","","Cut Tape (CT)","Active","2","0.39000","$0.78","2040","11 Weeks","CAP CER 10000PF 50V U2J 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"B360A-13-F","Diodes Incorporated","B360A-FDITR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","255409","10 Weeks","DIODE SCHOTTKY 60V 3A SMA","ROHS3 Compliant","Contains lead","REACH Affected"
"SMBJ5341B-TP","Micro Commercial Co","SMBJ5341B-TPMSTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","24968","30 Weeks","DIODE ZENER 6.2V 5W DO214AA","ROHS3 Compliant","Lead free","REACH Unaffected"
"RF071LAM4STR","Rohm Semiconductor","RF071LAM4STRTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","1885","12 Weeks","DIODE GEN PURP 400V 1A PMDTM","ROHS3 Compliant","Lead free","REACH Affected"
"DDZ9699-7","Diodes Incorporated","DDZ9699DICT-ND","","","Cut Tape (CT)","Active","2","0.39000","$0.78","50679","22 Weeks","DIODE ZENER 12V 500MW SOD123","ROHS3 Compliant","Lead free","REACH Unaffected"
"MM5Z15VT1G","ON Semiconductor","MM5Z15VT1GOSTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","0","51 Weeks","DIODE ZENER 15V 500MW SOD523","ROHS3 Compliant","Lead free","REACH Unaffected"
"KLM-12","Eaton - Bussmann Electrical Division","KLM-12-ND","","","Bulk","Active","1","0.00000","$0.00","0","8 Weeks","FUSE CRTRDGE 12A 600VAC/VDC 5AG","RoHS Compliant","Lead free","Not Available"
"LTST-C193TBKT-5A","Lite-On Inc.","160-1827-1-ND","","","Cut Tape (CT)","Active","2","0.41000","$0.82","0","20 Weeks","LED BLUE CLEAR CHIP SMD","ROHS3 Compliant","Lead free","Not Available"
"IPB200N25N3GATMA1","Infineon Technologies","IPB200N25N3GATMA1TR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","2085","39 Weeks","MOSFET N-CH 250V 64A D2PAK","ROHS3 Compliant","Lead free","REACH Unaffected"
"BSS126 H6327","","","","","","","","","","","","","","",""
"RC0603FR-071K3L","Yageo","311-1.30KHRCT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","332649","20 Weeks","RES SMD 1.3K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-07160KL","Yageo","311-160KHRCT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","1001884","20 Weeks","RES SMD 160K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRGCQ0603J10M","TE Connectivity Passive Product","A130115TR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","24453","19 Weeks","CRGCQ 0603 10M 5%","RoHS Compliant","Lead free","Not Available"
"RC0603FR-07255KL","Yageo","311-255KHRCT-ND","","","Cut Tape (CT)","Active","4","0.15000","$0.60","137872","20 Weeks","RES SMD 255K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-P06J204V","Panasonic Electronic Components","P200KADTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","21926","22 Weeks","RES SMD 200K OHM 5% 1/2W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RR0816P-332-D","Susumu","RR08P3.3KDCT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","74515","14 Weeks","RES SMD 3.3K OHM 0.5% 1/16W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RR0816P-562-D","Susumu","RR08P5.6KDCT-ND","","","Cut Tape (CT)","Active","3","0.15000","$0.45","9112","14 Weeks","RES SMD 5.6K OHM 0.5% 1/16W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-0722R1L","Yageo","311-22.1HRTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","360819","20 Weeks","RES SMD 22.1 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"MCP3427-E/UN","Microchip Technology","MCP3427-E/UN-ND","","","Tube","Active","3","4.37000","$13.11","3444","14 Weeks","IC ADC 16BIT SIGMA-DELTA 10MSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"MC74LVX138DTR2G","ON Semiconductor","MC74LVX138DTR2GOSTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","1540","45 Weeks","IC DECODER/DEMUX 1X3:8 16TSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN74LV4051AQPWRQ1","Texas Instruments","296-29043-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","42982","16 Weeks","IC MUX/DMUX 8X1 16TSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"LTC4359IMS8#PBF","Analog Devices Inc.","LTC4359IMS8#PBF-ND","","","Tube","Active","1","9.51000","$9.51","4099","16 Weeks","IC OR CTRLR N+1 8MSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"MAX6643LBFAEE+","Maxim Integrated","MAX6643LBFAEE+-ND","","","Tube","Active","1","3.49000","$3.49","98","6 Weeks","IC CTLR PWM FAN-SPEED 16QSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"NL17SZ00DFT2G","ON Semiconductor","NL17SZ00DFT2GOSTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","3556","16 Weeks","IC GATE NAND 1CH 2-INP SC88A","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-3RBD1002V","","","","","","","","","","","","","","",""
"AC0603FR-071M15L","","","","","","","","","","","","","","",""
"SFR03EZPF1003","Rohm Semiconductor","511-1819-1-ND","","","Cut Tape (CT)","Active","6","0.15000","$0.90","10672","8 Weeks","RES 100 KOHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"BK/1A3400-09-R","Eaton - Electronics Division","283-2829-ND","","","Bag","Active","2","1.16000","$2.32","5716","13 Weeks","FUSE CLIP CARTRIDGE 20A PCB","RoHS Compliant","Lead free","Not Available"
"XPEBAM-L1-0000-00903","Cree Inc.","XPEBAM-L1-0000-00903CT-ND","","","Cut Tape (CT)","Active","11","2.57500","$28.32","1506","9 Weeks","LED XLAMP XPE2 AMBER 593NM 2SMD","RoHS Compliant","Lead free","Not Available"
"GRM21BR61E106KA73L","Murata Electronics","490-5523-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","7832794","23 Weeks","CAP CER 10UF 25V X5R 0805","ROHS3 Compliant","Lead free","Not Available"
"1N4148WQ-7-F","Diodes Incorporated","1N4148WQ-7-FDICT-ND","","","Cut Tape (CT)","Active","3","0.28000","$0.84","0","22 Weeks","DIODE GEN PURP 100V 300MA SOD123","ROHS3 Compliant","Lead free","REACH Unaffected"
"SRU1048A-101Y","Bourns Inc.","SRU1048A-101YTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","1926","22 Weeks","FIXED IND 100UH 1.2A 220MOHM SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"BCM56DSF","Nexperia USA Inc.","1727-7829-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","29134","23 Weeks","BCM56DS/SOT457/SC-74","Not Available","Not Available","REACH Unaffected"
"23BR20KLFTR","TT Electronics/BI","987-1016-1-ND","","","Cut Tape (CT)","Active","2","1.71000","$3.42","0","9 Weeks","TRIMMER 20K OHM 0.25W GW TOP ADJ","RoHS Compliant","Lead free","REACH Unaffected"
"CRM1206AFX-1R00ELF","Bourns Inc.","CRM1206AFX-1R00ELFCT-ND","","","Cut Tape (CT)","Active","2","0.57000","$1.14","4760","18 Weeks","RES 1 OHM 1% 1/2W 1206","ROHS3 Compliant","Lead free","Not Available"
